urena lobata
urtica urens
vaccaria hispanica
valantia hispida
valerianella dentata
valerianella locusta
verbascum cystolithicum
verbascum thapsus
verbena officinalis
verbena rigida
veronica anagallis-aquatica
veronica arvensis
veronica beccabunga
veronica officinalis
veronica persica
veronica polita
veronica serpyllifolia
vicia angustifolia
vicia hirsuta
vicia lutea
vicia sativa
vicia tetrasperma
vicia villosa
vieraea laevigata
vinca major
viola anagae
viola arvensis
viola kitaibeliana
viola odorata
viola palustris
viola paradoxa
viola riviniana
viola tricolor
vitis vinifera
withania aristata
withania somnifera
wolffia arrhiza
woodwardia radicans
xanthium spinosum
xanthium strumarium
zannichellia palustris
zea mays
zinnia peruviana
zygophyllum fontanesii
zygophyllum simplex
zygophyllum waterlotii
