abies fraseri
podophyllum peltatum
polycnemum majus
polygala senega
polygonatum odoratum
polygonum arenastrum
polygonum maritimum
polygonum rurivagum
polypodium vulgare
polystichum lonchitis
pontederia cordata
populus tremuloides
potamogeton gramineus
potamogeton natans
potamogeton nodosus
potamogeton praelongus
potamogeton richardsonii
potentilla anserina
potentilla argentea
potentilla concinna
potentilla erecta
potentilla fruticosa
potentilla fruticosa subsp. floribunda
potentilla gracilis
potentilla hippiana
potentilla inclinata
potentilla nivea
potentilla norvegica
potentilla palustris
potentilla recta
potentilla reptans
potentilla supina
primula incana
prosartes hookeri
prosartes trachycarpa
prunella vulgaris
prunus dulcis
prunus insititia
prunus pensylvanica
prunus serotina
prunus virginiana
pseudognaphalium luteoalbum
pseudorchis albida
pseudotsuga menziesii
psilotum nudum
psoralea esculenta
ptelea trifoliata
pteridium aquilinum
pteris vittata
puccinellia distans
pulegium vulgare
pulsatilla patens
pulsatilla patens subsp. multifida
punica granatum
pyrola asarifolia
pyrola minor
pyrrocoma lanceolata
quercus rubra
quercus suber
ranunculus acris
ranunculus arvensis
ranunculus flammula
ranunculus glacialis
ranunculus sceleratus
ratibida columnifera
reseda alba
reseda lutea
reseda luteola
reynoutria 
reynoutria sachalinensis
rhamnus cathartica
rhinanthus minor
rhizophora mangle
rhodiola rosea
rhus glabra
rhus hirta
rhynchospora alba
rhynchospora fusca
ribes rubrum
ribes sanguineum
ribes uva-crispa
ricinus communis
robinia pseudacacia
robinia viscosa
rorippa amphibia
rorippa palustris
rorippa sylvestris
rosa arkansana
rosa laevigata
rosa majalis
rosa multiflora
rosa woodsii
rosmarinus officinalis
rubus arcticus
rubus arcticus subsp. acaulis
rubus caesius
rubus odoratus
rudbeckia hirta
rudbeckia laciniata
rumex acetosa
rumex acetosella
rumex alpinus
rumex conglomeratus
rumex crispus
rumex obtusifolius
rumex stenophyllus
rumohra adiantiformis
russelia equisetiformis
sagina procumbens
sagina saginoides
sagittaria lancifolia
sagittaria latifolia
salix exigua
salix herbacea
salix viminalis
salsola australis
salsola soda
salvia coccinea
salvia nutans
salvia pratensis
salvia verbenaca
sambucus nigra
sambucus nigra subsp. canadensis
sambucus racemosa
samolus valerandi
sanguinaria canadensis
sanguisorba minor
sanguisorba officinalis
sanicula marilandica
saponaria officinalis
sarcocornia perennis
saxifraga aizoides
saxifraga cernua
saxifraga hieraciifolia
saxifraga paniculata
scandix pecten-veneris
scleranthus annuus
